Location,Area_sqft,Price,Price_BDT,Bedroom,Bathroom,Floor,For,Property_Type,URL
"Uttarkhan, Dhaka",1368,BDT 1.17 Crore,11700000.0,3,3,8,Sell,Flat,https://brokeragebd.com/property/1368-sft-3-bebroom-flat-is-ready-for-sale-in-uttarkhan-c8/
"Uttarkhan, Dhaka",1368,BDT 28 Thousand Per Month,28000.0,3,2,8,Rent,Flat,https://brokeragebd.com/property/1368-sft-3-bebroom-flat-is-ready-for-rent-in-uttarkhan/
"Mirpur, Dhaka",1367,BDT 75 Lakh,7500000.0,3,3,2,Sell,Flat,https://brokeragebd.com/property/1367-sft-3-bedroom-flat-is-ready-for-sale-in-mirpur/
"Savar, Dhaka",1308,BDT 56 Lakh,5600000.0,3,3,1,Sell,Flat,https://brokeragebd.com/property/1308-sft-3-bedroom-flat-is-ready-for-sale-in-savar-b1/
"Savar, Dhaka",1308,BDT 69 Lakh,6900000.0,3,3,5,Sell,Flat,https://brokeragebd.com/property/1308-sft-3-bedroom-flat-is-ready-for-sale-in-savar-c5/
"Mirpur, Dhaka",1306,BDT 1.83 Crore,18300000.0,3,3,2,Sell,Flat,https://brokeragebd.com/property/1306-sft-3-bedroom-flat-is-ready-for-sale-in-mirpur/
"Banashree, Dhaka",1250,BDT 94 Lakh,9400000.0,3,3,3,Sell,Flat,https://brokeragebd.com/property/1250-sft-3-bedroom-flat-is-ready-for-sale-in-banashree-3a/
"Banashree, Dhaka",1250,BDT 94 Lakh,9400000.0,3,3,5,Sell,Flat,https://brokeragebd.com/property/1250-sft-3-bedroom-flat-is-ready-for-sale-in-banashree-5a/
"Savar, Dhaka",1220,BDT 59 Lakh,5900000.0,3,3,5,Sell,Flat,https://brokeragebd.com/property/1220-sft-3-bedroom-flat-is-ready-for-sale-in-savar-a5/
"Savar, Dhaka",1220,BDT 59 Lakh,5900000.0,3,3,1,Sell,Flat,https://brokeragebd.com/property/1220-sft-3-bedroom-flat-is-ready-for-sale-in-savar/
"Uttara, Dhaka",1177,BDT 65 Lakh,6500000.0,3,2,5,Sell,Flat,https://brokeragebd.com/property/1148-sft-3-bedroom-flat-is-ready-for-sale-in-uttara/
"Mirpur, Dhaka",1154,BDT 1.18 Crore,11800000.0,3,3,4,Sell,Flat,https://brokeragebd.com/property/1154-sft-3-bedroom-flat-is-ready-for-sale-in-mirpur-j4/
"Mirpur, Dhaka",1154,BDT 1.2 Crore,12000000.0,3,3,9,Sell,Flat,https://brokeragebd.com/property/1154-sft-3-bedroom-flat-is-ready-for-sale-in-mirpur/
